username,repo_name,stars,repo_url
facebook,react,192000,https://github.com/facebook/react
curl,curl,25800,https://github.com/curl/curl
ccxt,ccxt,25200,https://github.com/ccxt/ccxt
mojs,mojs,17600,https://github.com/mojs/mojs
framework7io,framework7,16800,https://github.com/framework7io/framework7
OpenGenus,cosmos,13000,https://github.com/OpenGenus/cosmos
Ramotion,animated-tab-bar,11000,https://github.com/Ramotion/animated-tab-bar
dgraph-io,badger,11000,https://github.com/dgraph-io/badger
Ramotion,folding-cell,10100,https://github.com/Ramotion/folding-cell
WenchaoD,FSCalendar,10100,https://github.com/WenchaoD/FSCalendar
cdnjs,cdnjs,9600,https://github.com/cdnjs/cdnjs
felangel,bloc,9200,https://github.com/felangel/bloc
apache,thrift,9200,https://github.com/apache/thrift
libgit2,libgit2,8500,https://github.com/libgit2/libgit2
roughike,BottomBar,8400,https://github.com/roughike/BottomBar
ColorfulCat,AndroidLibs,7300,https://github.com/ColorfulCat/AndroidLibs
nextui-org,nextui,7300,https://github.com/nextui-org/nextui
FreeRDP,FreeRDP,7100,https://github.com/FreeRDP/FreeRDP
sbstjn,timesheet.js,6900,https://github.com/sbstjn/timesheet.js
needim,noty,6700,https://github.com/needim/noty
LonamiWebs,Telethon,6700,https://github.com/LonamiWebs/Telethon
patrickmn,go-cache,6300,https://github.com/patrickmn/go-cache
IntelRealSense,librealsense,6100,https://github.com/IntelRealSense/librealsense
gruns,icecream,6000,https://github.com/gruns/icecream
Devlight,InfiniteCycleViewPager,5700,https://github.com/Devlight/InfiniteCycleViewPager
lpereira,lwan,5600,https://github.com/lpereira/lwan
Ramotion,expanding-collection,5500,https://github.com/Ramotion/expanding-collection
lusaxweb,vuesax,5500,https://github.com/lusaxweb/vuesax
microsoft,FASTER,5100,https://github.com/microsoft/FASTER
libimobiledevice,libimobiledevice,5100,https://github.com/libimobiledevice/libimobiledevice
