username,repo_name,stars,repo_url
jquery,jquery,56500,https://github.com/jquery/jquery
alvarotrigo,fullPage.js,33800,https://github.com/alvarotrigo/fullPage.js
NervJS,taro,31300,https://github.com/NervJS/taro
select2,select2,25400,https://github.com/select2/select2
cheeriojs,cheerio,25300,https://github.com/cheeriojs/cheerio
nhn,tui.editor,14900,https://github.com/nhn/tui.editor
pandao,editor.md,12300,https://github.com/pandao/editor.md
PuerkitoBio,goquery,11600,https://github.com/PuerkitoBio/goquery
jessepollak,card,11400,https://github.com/jessepollak/card
jquery,jquery-ui,11100,https://github.com/jquery/jquery-ui
jquery-validation,jquery-validation,10200,https://github.com/jquery-validation/jquery-validation
snapappointments,bootstrap-select,9600,https://github.com/snapappointments/bootstrap-select
fengyuanchen,cropper,7800,https://github.com/fengyuanchen/cropper
fancyapps,fancybox,7200,https://github.com/fancyapps/fancybox
olton,Metro-UI-CSS,6900,https://github.com/olton/Metro-UI-CSS
AllThingsSmitty,must-watch-javascript,6700,https://github.com/AllThingsSmitty/must-watch-javascript
bda-research,node-crawler,6200,https://github.com/bda-research/node-crawler
fabiospampinato,cash,5900,https://github.com/fabiospampinato/cash
yujiosaka,headless-chrome-crawler,5300,https://github.com/yujiosaka/headless-chrome-crawler
kartik-v,bootstrap-fileinput,5200,https://github.com/kartik-v/bootstrap-fileinput
jquery-form,form,5100,https://github.com/jquery-form/form
givanz,VvvebJs,5000,https://github.com/givanz/VvvebJs
olifolkerd,tabulator,4800,https://github.com/olifolkerd/tabulator
bigskysoftware,intercooler-js,4700,https://github.com/bigskysoftware/intercooler-js
yajra,laravel-datatables,4300,https://github.com/yajra/laravel-datatables
benpickles,peity,4200,https://github.com/benpickles/peity
AllThingsSmitty,jquery-tips-everyone-should-know,4200,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know
alvarotrigo,pagePiling.js,4000,https://github.com/alvarotrigo/pagePiling.js
oblac,jodd,3900,https://github.com/oblac/jodd
rmm5t,jquery-timeago,3800,https://github.com/rmm5t/jquery-timeago
