username,repo_name,stars,repo_url
ovity,octotree,22100,https://github.com/ovity/octotree
gitpod-io,gitpod,8600,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,5300,https://github.com/reviewdog/reviewdog
danger,danger,4900,https://github.com/danger/danger
danger,danger-js,4500,https://github.com/danger/danger-js
joho,awesome-code-review,3500,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1900,https://github.com/microsoft/vscode-pull-request-github
mbj,mutant,1900,https://github.com/mbj/mutant
crev-dev,cargo-crev,1700,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1200,https://github.com/Tencent/CodeAnalysis
bit4woo,python_sec,1100,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,1200,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,1100,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,844,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,805,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,671,https://github.com/enlightn/enlightn
palantir,policy-bot,499,https://github.com/palantir/policy-bot
bsamseth,cpp-project,483,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,447,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,445,https://github.com/mookid/diffr
mgreiler,code-review-checklist,443,https://github.com/mgreiler/code-review-checklist
JetBrains,Qodana,351,https://github.com/JetBrains/Qodana
dpnishant,raptor,329,https://github.com/dpnishant/raptor
wandersoncferreira,code-review,330,https://github.com/wandersoncferreira/code-review
sjparkinson,static-review,327,https://github.com/sjparkinson/static-review
burrito-brothers,shiba,290,https://github.com/burrito-brothers/shiba
charignon,github-review,286,https://github.com/charignon/github-review
watermelontools,wm-extension,275,https://github.com/watermelontools/wm-extension
