username,repo_name,stars,repo_url
AtsushiSakai,PythonRobotics,15700,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,13300,https://github.com/formatjs/formatjs
frappe,erpnext,11500,https://github.com/frappe/erpnext
SwiftGen,SwiftGen,8000,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,7000,https://github.com/Humanizr/Humanizer
cartographer-project,cartographer,6100,https://github.com/cartographer-project/cartographer
lingui,js-lingui,3400,https://github.com/lingui/js-lingui
WeblateOrg,weblate,3000,https://github.com/WeblateOrg/weblate
jeremykenedy,laravel-auth,2800,https://github.com/jeremykenedy/laravel-auth
hybridsjs,hybrids,2700,https://github.com/hybridsjs/hybrids
github,time-elements,2400,https://github.com/github/time-elements
introlab,rtabmap,1900,https://github.com/introlab/rtabmap
vinissimus,next-translate,1700,https://github.com/vinissimus/next-translate
ever-co,ever-traduora,1700,https://github.com/ever-co/ever-traduora
igorkulman,iOSLocalizationEditor,1300,https://github.com/igorkulman/iOSLocalizationEditor
overtrue,laravel-lang,1300,https://github.com/overtrue/laravel-lang
vovgou,loxodon-framework,1200,https://github.com/vovgou/loxodon-framework
FlineDev,BartyCrouch,1200,https://github.com/FlineDev/BartyCrouch
mozilla,pontoon,1200,https://github.com/mozilla/pontoon
projectfluent,fluent,1000,https://github.com/projectfluent/fluent
onlytailei,CppRobotics,1100,https://github.com/onlytailei/CppRobotics
ivanhofer,typesafe-i18n,987,https://github.com/ivanhofer/typesafe-i18n
MIT-SPARK,Kimera-VIO,1100,https://github.com/MIT-SPARK/Kimera-VIO
parrot-translate,parrot,960,https://github.com/parrot-translate/parrot
axuno,SmartFormat,840,https://github.com/axuno/SmartFormat
shioyama,mobility,815,https://github.com/shioyama/mobility
koala-interactive,frenchkiss.js,782,https://github.com/koala-interactive/frenchkiss.js
projectfluent,fluent.js,754,https://github.com/projectfluent/fluent.js
translate,translate,702,https://github.com/translate/translate
workalendar,workalendar,724,https://github.com/workalendar/workalendar
