username,repo_name,stars,repo_url
airbnb,react-sketchapp,14900,https://github.com/airbnb/react-sketchapp
gztchan,awesome-design,13800,https://github.com/gztchan/awesome-design
casesandberg,react-color,10800,https://github.com/casesandberg/react-color
tldraw,tldraw,8900,https://github.com/tldraw/tldraw
themerdev,themer,4800,https://github.com/themerdev/themer
boringdesigners,boring-avatars,3900,https://github.com/boringdesigners/boring-avatars
sketchplugins,plugin-directory,3400,https://github.com/sketchplugins/plugin-directory
weui,weui-design,2800,https://github.com/weui/weui-design
weixin,Miaow,2500,https://github.com/weixin/Miaow
mathieudutour,git-sketch-plugin,2500,https://github.com/mathieudutour/git-sketch-plugin
matt-curtis,Fluid-for-Sketch,2400,https://github.com/matt-curtis/Fluid-for-Sketch
andrewfiorillo,sketch-palettes,2300,https://github.com/andrewfiorillo/sketch-palettes
DWilliames,paddy-sketch-plugin,2200,https://github.com/DWilliames/paddy-sketch-plugin
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
ajstarks,svgo,1900,https://github.com/ajstarks/svgo
html-sketchapp,html-sketchapp,1800,https://github.com/html-sketchapp/html-sketchapp
dataliterate,data-populator,1700,https://github.com/dataliterate/data-populator
Mukosame,Anime2Sketch,1500,https://github.com/Mukosame/Anime2Sketch
kactus-io,kactus,1500,https://github.com/kactus-io/kactus
vydd,sketch,1200,https://github.com/vydd/sketch
carbon-design-system,carbon-design-kit,1000,https://github.com/carbon-design-system/carbon-design-kit
ment-mx,Prism,1000,https://github.com/ment-mx/Prism
stephenway,sketch-foundation-kit,1000,https://github.com/stephenway/sketch-foundation-kit
MohamedYoussouf,Design-Resources,933,https://github.com/MohamedYoussouf/Design-Resources
zddhub,opensse,930,https://github.com/zddhub/opensse
skpm,skpm,935,https://github.com/skpm/skpm
Ashung,Automate-Sketch,915,https://github.com/Ashung/Automate-Sketch
AMoreaux,Sketch-Icons,878,https://github.com/AMoreaux/Sketch-Icons
AnimaApp,sketch-web-viewer,877,https://github.com/AnimaApp/sketch-web-viewer
sonburn,symbol-organizer,839,https://github.com/sonburn/symbol-organizer
